# 1D Sod shock tube solution
# scheme = hybrid
# nsteps = 218
# time =     0.2500000000
x,rho,u,p,E
    0.00000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02000000,  1.0000000000E+00,  1.4805977346E-17,  1.0000000000E+00,  2.5000000000E+00
    0.02500000,  1.0000000000E+00,  1.5564037125E-16,  1.0000000000E+00,  2.5000000000E+00
    0.03000000,  1.0000000000E+00,  4.0166494619E-16,  1.0000000000E+00,  2.5000000000E+00
    0.03500000,  1.0000000000E+00,  7.2922817652E-16,  1.0000000000E+00,  2.5000000000E+00
    0.04000000,  1.0000000000E+00,  1.2375417360E-15,  1.0000000000E+00,  2.5000000000E+00
    0.04500000,  1.0000000000E+00,  2.1370330856E-15,  1.0000000000E+00,  2.5000000000E+00
    0.05000000,  1.0000000000E+00,  3.6056698379E-15,  1.0000000000E+00,  2.5000000000E+00
    0.05500000,  1.0000000000E+00,  5.9354187743E-15,  1.0000000000E+00,  2.5000000000E+00
    0.06000000,  1.0000000000E+00,  9.6730776437E-15,  1.0000000000E+00,  2.5000000000E+00
    0.06500000,  1.0000000000E+00,  1.5263154631E-14,  1.0000000000E+00,  2.5000000000E+00
    0.07000000,  1.0000000000E+00,  2.3535409620E-14,  1.0000000000E+00,  2.5000000000E+00
    0.07500000,  1.0000000000E+00,  3.5688850333E-14,  1.0000000000E+00,  2.5000000000E+00
    0.08000000,  1.0000000000E+00,  5.2790402215E-14,  1.0000000000E+00,  2.5000000000E+00
    0.08500000,  1.0000000000E+00,  7.6330905185E-14,  1.0000000000E+00,  2.5000000000E+00
    0.09000000,  1.0000000000E+00,  1.0806323477E-13,  1.0000000000E+00,  2.5000000000E+00
