# 1D Sod shock tube solution
# scheme = muscl
# nsteps = 221
# time =     0.2500000000
x,rho,u,p,E
    0.26500000,  8.2390955449E-01,  2.2512499635E-01,  7.6222569306E-01,  1.9264426215E+00
    0.27000000,  8.1236940175E-01,  2.4117758678E-01,  7.4730418417E-01,  1.8918868550E+00
    0.27500000,  8.0098120176E-01,  2.5719808568E-01,  7.3266262052E-01,  1.8581493471E+00
    0.28000000,  7.8974090058E-01,  2.7318968205E-01,  7.1829316468E-01,  1.8252031210E+00
    0.28500000,  7.7864488205E-01,  2.8915508048E-01,  7.0418867551E-01,  1.7930231953E+00
    0.29000000,  7.6768955023E-01,  3.0509707993E-01,  6.9034216453E-01,  1.7615853059E+00
    0.29500000,  7.5687140614E-01,  3.2101850087E-01,  6.7674688458E-01,  1.7308660998E+00
    0.30000000,  7.4618714773E-01,  3.3692201889E-01,  6.6339644031E-01,  1.7008433576E+00
    0.30500000,  7.3563372577E-01,  3.5281007188E-01,  6.5028483871E-01,  1.6714960812E+00
    0.31000000,  7.2520835727E-01,  3.6868483617E-01,  6.3740648917E-01,  1.6428044681E+00
    0.31500000,  7.1490850848E-01,  3.8454823591E-01,  6.2475617267E-01,  1.6147498180E+00
    0.32000000,  7.0473186521E-01,  4.0040196893E-01,  6.1232900254E-01,  1.5873144246E+00
    0.32500000,  6.9467629807E-01,  4.1624753426E-01,  6.0012038325E-01,  1.5604814639E+00
    0.33000000,  6.8473982960E-01,  4.3208625712E-01,  5.8812597159E-01,  1.5342348900E+00
    0.33500000,  6.7492060822E-01,  4.4791931434E-01,  5.7634164352E-01,  1.5085593474E+00
    0.34000000,  6.6521688968E-01,  4.6374776225E-01,  5.6476346643E-01,  1.4834400991E+00
    0.34500000,  6.5562702281E-01,  4.7957256631E-01,  5.5338767380E-01,  1.4588629636E+00
    0.35000000,  6.4614943386E-01,  4.9539462918E-01,  5.4221063722E-01,  1.4348142457E+00
    0.35500000,  6.3678260559E-01,  5.1121481486E-01,  5.3122883342E-01,  1.4112806535E+00
    0.36000000,  6.2752505302E-01,  5.2703397476E-01,  5.2043880998E-01,  1.3882492137E+00
    0.36500000,  6.1837530043E-01,  5.4285298477E-01,  5.0983715661E-01,  1.3657072032E+00
    0.37000000,  6.0933186183E-01,  5.5867279619E-01,  4.9942048413E-01,  1.3436421067E+00
    0.37500000,  6.0039322121E-01,  5.7449449240E-01,  4.8918540612E-01,  1.3220415820E+00
    0.38000000,  5.9155780823E-01,  5.9031934008E-01,  4.7912851704E-01,  1.3008934151E+00
    0.38500000,  5.8282396952E-01,  6.0614883159E-01,  4.6924636577E-01,  1.2801854585E+00
    0.39000000,  5.7418994077E-01,  6.2198472530E-01,  4.5953542943E-01,  1.2599055689E+00
    0.39500000,  5.6565382437E-01,  6.3782909195E-01,  4.4999209234E-01,  1.2400415582E+00
    0.40000000,  5.5721357370E-01,  6.5368436922E-01,  4.4061263128E-01,  1.2205811650E+00
    0.40500000,  5.4886698227E-01,  6.6955341890E-01,  4.3139320525E-01,  1.2015120359E+00
    0.41000000,  5.4061167690E-01,  6.8543957610E-01,  4.2232984962E-01,  1.1828217167E+00
    0.41500000,  5.3244512008E-01,  7.0134667291E-01,  4.1341848055E-01,  1.1644976592E+00
    0.42000000,  5.2436463704E-01,  7.1727900446E-01,  4.0465492694E-01,  1.1465272808E+00
    0.42500000,  5.1636750365E-01,  7.3324117229E-01,  3.9603502772E-01,  1.1288981572E+00
    0.43000000,  5.0845116675E-01,  7.4923766352E-01,  3.8755486832E-01,  1.1115985010E+00
    0.43500000,  5.0061372890E-01,  7.6527186486E-01,  3.7921128951E-01,  1.0946181930E+00
    0.44000000,  4.9285495204E-01,  7.8134393096E-01,  3.7100292449E-01,  1.0779508759E+00
    0.44500000,  4.8517824018E-01,  7.9744640566E-01,  3.6293222194E-01,  1.0615980149E+00
    0.45000000,  4.7759419055E-01,  8.1355584962E-01,  3.5500902071E-01,  1.0455759304E+00
    0.45500000,  4.7012691924E-01,  8.2961881887E-01,  3.4725685396E-01,  1.0299286475E+00
    0.46000000,  4.6282421502E-01,  8.4552786498E-01,  3.3972295788E-01,  1.0147479301E+00
    0.46500000,  4.5576914627E-01,  8.6108435337E-01,  3.3248931591E-01,  1.0001920128E+00
    0.47000000,  4.4909907554E-01,  8.7597958075E-01,  3.2569122046E-01,  9.8653394420E-01
    0.47500000,  4.4300505748E-01,  8.8976097308E-01,  3.1951578247E-01,  9.7414737963E-01
    0.48000000,  4.3768545430E-01,  9.0181953259E-01,  3.1415144426E-01,  9.6335868881E-01
    0.48500000,  4.3338865122E-01,  9.1177862211E-01,  3.0983205987E-01,  9.5472686574E-01
    0.49000000,  4.3021419096E-01,  9.1933963940E-01,  3.0664738695E-01,  9.4842383802E-01
    0.49500000,  4.2796481585E-01,  9.2433858470E-01,  3.0439863669E-01,  9.4382355034E-01
    0.50000000,  4.2657440292E-01,  9.2744361859E-01,  3.0301967901E-01,  9.4100853913E-01
    0.50500000,  4.2588358643E-01,  9.2933555185E-01,  3.0233388584E-01,  9.3974499642E-01
    0.51000000,  4.2555324494E-01,  9.3024745355E-01,  3.0198626361E-01,  9.3909410618E-01
    0.51500000,  4.2540899073E-01,  9.3049731670E-01,  3.0183705527E-01,  9.3875756242E-01
    0.52000000,  4.2534876230E-01,  9.3044533699E-01,  3.0178641378E-01,  9.3858431278E-01
    0.52500000,  4.2538828974E-01,  9.3033642898E-01,  3.0182296557E-01,  9.3864969893E-01
    0.53000000,  4.2554567458E-01,  9.3004214374E-01,  3.0196972464E-01,  9.3896821764E-01
    0.53500000,  4.2578408240E-01,  9.2965874494E-01,  3.0220768579E-01,  9.3951443580E-01
    0.54000000,  4.2596585326E-01,  9.2930125355E-01,  3.0238359819E-01,  9.3989122553E-01
    0.54500000,  4.2606846629E-01,  9.2895885446E-01,  3.0246789997E-01,  9.4001074176E-01
    0.55000000,  4.2611865360E-01,  9.2868427911E-01,  3.0251760550E-01,  9.4004798685E-01
    0.55500000,  4.2617439862E-01,  9.2856936674E-01,  3.0256902409E-01,  9.4015509471E-01
    0.56000000,  4.2626386032E-01,  9.2855565247E-01,  3.0265026342E-01,  9.4039133355E-01
    0.56500000,  4.2634732519E-01,  9.2846985308E-01,  3.0272158390E-01,  9.4057165178E-01
    0.57000000,  4.2642660841E-01,  9.2828602248E-01,  3.0279248489E-01,  9.4071030176E-01
    0.57500000,  4.2650998038E-01,  9.2800090189E-01,  3.0286705135E-01,  9.4081977081E-01
    0.58000000,  4.2659565625E-01,  9.2768397578E-01,  3.0294279716E-01,  9.4092058311E-01
    0.58500000,  4.2668815301E-01,  9.2748879232E-01,  3.0303245585E-01,  9.4110727938E-01
    0.59000000,  4.2678775362E-01,  9.2747277986E-01,  3.0312159834E-01,  9.4136663727E-01
    0.59500000,  4.2683759620E-01,  9.2744252041E-01,  3.0314604015E-01,  9.4143720032E-01
    0.60000000,  4.2685052130E-01,  9.2739869219E-01,  3.0315334674E-01,  9.4144367528E-01
    0.60500000,  4.2683872643E-01,  9.2732632031E-01,  3.0313473126E-01,  9.4136341712E-01
    0.61000000,  4.2683472777E-01,  9.2730293608E-01,  3.0312212697E-01,  9.4132093137E-01
    0.61500000,  4.2684365409E-01,  9.2731079673E-01,  3.0312554780E-01,  9.4133643265E-01
    0.62000000,  4.2687961208E-01,  9.2735162717E-01,  3.0315677461E-01,  9.4144612299E-01
    0.62500000,  4.2689932954E-01,  9.2733733135E-01,  3.0317389101E-01,  9.4149173283E-01
    0.63000000,  4.2691379499E-01,  9.2727697111E-01,  3.0318685192E-01,  9.4150645952E-01
    0.63500000,  4.2693516571E-01,  9.2716381995E-01,  3.0320706376E-01,  9.4152138447E-01
    0.64000000,  4.2699574447E-01,  9.2701511162E-01,  3.0325399476E-01,  9.4160588156E-01
    0.64500000,  4.2707419701E-01,  9.2686192949E-01,  3.0331907958E-01,  9.4174166253E-01
    0.65000000,  4.2717083407E-01,  9.2679818993E-01,  3.0338708457E-01,  9.4192794871E-01
    0.65500000,  4.2729754823E-01,  9.2678099551E-01,  3.0343761469E-01,  9.4210188566E-01
    0.66000000,  4.2739454710E-01,  9.2669684194E-01,  3.0343626885E-01,  9.4210684651E-01
    0.66500000,  4.2744183704E-01,  9.2663946574E-01,  3.0341831472E-01,  9.4205954018E-01
    0.67000000,  4.2746202021E-01,  9.2664924070E-01,  3.0341078252E-01,  9.4205324686E-01
    0.67500000,  4.2744750768E-01,  9.2671376825E-01,  3.0340759819E-01,  9.4206461508E-01
    0.68000000,  4.2737037905E-01,  9.2684699008E-01,  3.0337341525E-01,  9.4199880506E-01
    0.68500000,  4.2718598619E-01,  9.2705979712E-01,  3.0330027550E-01,  9.4182102243E-01
    0.69000000,  4.2681899197E-01,  9.2729358293E-01,  3.0319604404E-01,  9.4149525663E-01
    0.69500000,  4.2613773605E-01,  9.2751369687E-01,  3.0307580563E-01,  9.4098875311E-01
    0.70000000,  4.2487905272E-01,  9.2767534843E-01,  3.0294753953E-01,  9.4019038614E-01
    0.70500000,  4.2257689819E-01,  9.2775758298E-01,  3.0285392625E-01,  9.3899799563E-01
    0.71000000,  4.1841183415E-01,  9.2774106663E-01,  3.0287259023E-01,  9.3724573786E-01
    0.71500000,  4.1089319190E-01,  9.2759319344E-01,  3.0304287496E-01,  9.3437942374E-01
    0.72000000,  3.9744580216E-01,  9.2741037555E-01,  3.0327423895E-01,  9.2910517831E-01
    0.72500000,  3.7449223371E-01,  9.2753501977E-01,  3.0335625928E-01,  9.1948245456E-01
    0.73000000,  3.4011122328E-01,  9.2653685232E-01,  3.0281944139E-01,  9.0303633600E-01
    0.73500000,  3.0317034620E-01,  9.2733206850E-01,  3.0278929284E-01,  8.8732810819E-01
    0.74000000,  2.7906504906E-01,  9.3140951472E-01,  3.0426621852E-01,  8.8171331603E-01
    0.74500000,  2.6681920708E-01,  9.2869931066E-01,  3.0337083683E-01,  8.7349052841E-01
    0.75000000,  2.6162793509E-01,  9.2418726891E-01,  3.0179645163E-01,  8.6622223080E-01
    0.75500000,  2.5979556077E-01,  9.2342792634E-01,  3.0156793416E-01,  8.6468615836E-01
    0.76000000,  2.5926446869E-01,  9.2346219348E-01,  3.0181814548E-01,  8.6509345457E-01
    0.76500000,  2.5916993185E-01,  9.2474030724E-01,  3.0233250430E-01,  8.6664514925E-01
    0.77000000,  2.6026015317E-01,  9.3027001861E-01,  3.0406869053E-01,  8.7278659487E-01
    0.77500000,  2.6129055936E-01,  9.3184993020E-01,  3.0459367647E-01,  8.7492927412E-01
    0.78000000,  2.6181918378E-01,  9.3155554519E-01,  3.0450206112E-01,  8.7485793816E-01
    0.78500000,  2.6236288398E-01,  9.2983537345E-01,  3.0377639736E-01,  8.7285965766E-01
    0.79000000,  2.6315547158E-01,  9.2604332426E-01,  3.0266655506E-01,  8.6950169582E-01
    0.79500000,  2.6409531369E-01,  9.2293338184E-01,  3.0180731677E-01,  8.6699728191E-01
    0.80000000,  2.6509879812E-01,  9.2265904212E-01,  3.0150306913E-01,  8.6659693753E-01
    0.80500000,  2.6620690647E-01,  9.2500431843E-01,  3.0228472602E-01,  8.6959952060E-01
    0.81000000,  2.6721318492E-01,  9.3042780005E-01,  3.0426747415E-01,  8.7633136349E-01
    0.81500000,  2.6740307986E-01,  9.3130390516E-01,  3.0461463434E-01,  8.7749953653E-01
    0.82000000,  2.6738706537E-01,  9.3114694453E-01,  3.0462201107E-01,  8.7747195064E-01
    0.82500000,  2.6685184425E-01,  9.2906263545E-01,  3.0395165318E-01,  8.7504670240E-01
    0.83000000,  2.6558257879E-01,  9.2415413414E-01,  3.0229818924E-01,  8.6915731640E-01
