# 1D Sod shock tube solution
# scheme = godunov
# nsteps = 215
# time =     0.2500000000
x,rho,u,p,E
    0.00000000,  9.9999999941E-01,  6.9905281639E-10,  9.9999999917E-01,  2.4999999979E+00
    0.00500000,  9.9999999865E-01,  1.5993311892E-09,  9.9999999811E-01,  2.4999999953E+00
    0.01000000,  9.9999999696E-01,  3.5915513807E-09,  9.9999999575E-01,  2.4999999894E+00
    0.01500000,  9.9999999331E-01,  7.9164307327E-09,  9.9999999063E-01,  2.4999999766E+00
    0.02000000,  9.9999998553E-01,  1.7126449064E-08,  9.9999997974E-01,  2.4999999493E+00
    0.02500000,  9.9999996927E-01,  3.6364809842E-08,  9.9999995697E-01,  2.4999998924E+00
    0.03000000,  9.9999993595E-01,  7.5780147709E-08,  9.9999991034E-01,  2.4999997758E+00
    0.03500000,  9.9999986902E-01,  1.5497880025E-07,  9.9999981663E-01,  2.4999995416E+00
    0.04000000,  9.9999973713E-01,  3.1103765545E-07,  9.9999963198E-01,  2.4999990799E+00
    0.04500000,  9.9999948228E-01,  6.1257192356E-07,  9.9999927520E-01,  2.4999981880E+00
    0.05000000,  9.9999899950E-01,  1.1838120706E-06,  9.9999859930E-01,  2.4999964982E+00
    0.05500000,  9.9999810285E-01,  2.2447429621E-06,  9.9999734399E-01,  2.4999933600E+00
    0.06000000,  9.9999647045E-01,  4.1762241430E-06,  9.9999505863E-01,  2.4999876466E+00
    0.06500000,  9.9999355766E-01,  7.6226861720E-06,  9.9999098075E-01,  2.4999774519E+00
    0.07000000,  9.9998846422E-01,  1.3649343602E-05,  9.9998384998E-01,  2.4999596251E+00
    0.07500000,  9.9997973715E-01,  2.3975423770E-05,  9.9997163222E-01,  2.4999290808E+00
    0.08000000,  9.9996508797E-01,  4.1308757344E-05,  9.9995112378E-01,  2.4998778103E+00
    0.08500000,  9.9994100163E-01,  6.9808690369E-05,  9.9991740400E-01,  2.4997935124E+00
    0.09000000,  9.9990221651E-01,  1.1570150709E-04,  9.9986310774E-01,  2.4996577760E+00
    0.09500000,  9.9984106385E-01,  1.8806278373E-04,  9.9977750127E-01,  2.4994437709E+00
    0.10000000,  9.9974667077E-01,  2.9976173059E-04,  9.9964536849E-01,  2.4991134662E+00
    0.10500000,  9.9960405808E-01,  4.6853193281E-04,  9.9944575136E-01,  2.4986144881E+00
    0.11000000,  9.9939319904E-01,  7.1809143859E-04,  9.9915063911E-01,  2.4978768554E+00
    0.11500000,  9.9908814738E-01,  1.0791868992E-03,  9.9872375992E-01,  2.4968099816E+00
    0.12000000,  9.9865638318E-01,  1.5903900526E-03,  9.9811968611E-01,  2.4953004782E+00
    0.12500000,  9.9805855294E-01,  2.2984433453E-03,  9.9728350361E-01,  2.4932113953E+00
    0.13000000,  9.9724878230E-01,  3.2579504117E-03,  9.9615129907E-01,  2.4903835402E+00
    0.13500000,  9.9617570287E-01,  4.5302500632E-03,  9.9465166536E-01,  2.4866393857E+00
    0.14000000,  9.9478425448E-01,  6.1814050708E-03,  9.9270831065E-01,  2.4817897819E+00
    0.14500000,  9.9301820522E-01,  8.2793714876E-03,  9.9024368552E-01,  2.4756432485E+00
    0.15000000,  9.9082319582E-01,  1.0890566844E-02,  9.8718334670E-01,  2.4680171248E+00
    0.15500000,  9.8814999302E-01,  1.4076190268E-02,  9.8346060055E-01,  2.4587493970E+00
    0.16000000,  9.8495756400E-01,  1.7888726322E-02,  9.7902086566E-01,  2.4477097606E+00
    0.16500000,  9.8121558605E-01,  2.2369060296E-02,  9.7382519841E-01,  2.4348084838E+00
